  1    -19.75363925
  2     -9.50979827
  3     -9.26595729
  4     -9.02211631
  5     -8.77827532
  6     -8.53443434
  7     -8.29059336
  8     -8.04675238
  9     -7.80291140
 10     -7.55907042
 11     -7.31522944
 12     -7.07138846
 13     -6.82754747
 14     -6.58370649
 15     -6.33986551
 16     -6.09602453
 17     -5.85218355
 18     -5.60834257
 19     -5.36450159
 20     -5.12066061
 21     -4.87681962
 22     -4.63297864
 23     -4.38913766
 24     -4.14529668
 25     -3.90145570
 26     -3.65761472
 27     -3.41377374
 28     -3.16993276
 29     -2.92609177
 30     -2.68225079
 31     -2.43840981
 32     -2.19456883
 33     -1.95072785
 34     -1.70688687
 35     -1.46304589
 36     -1.21920491
 37     -0.97536392
 38     -0.73152294
 39     -0.48768196
 40     -0.24384098
 41      0.00000000
 42      0.24959387
 43      0.49918775
 44      0.74878162
 45      0.99837550
 46      1.24796937
 47      1.49756324
 48      1.74715712
 49      1.99675099
 50      2.24634487
 51      2.49593874
 52      2.74553261
 53      2.99512649
 54      3.24472036
 55      3.49431424
 56      3.74390811
 57      3.99350198
 58      4.24309586
 59      4.49268973
